ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 12,"Co.opmart Thủ Dầu Một, 368 Đường 30 Tháng 4, Chánh Nghĩa, Thủ Dầu Một, Bình Dương",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 13,"139 Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 14,"Tầng 4, TTTM Vincom Mega Mall Grand Park, Phường Long Bình và Phường Long Thạnh Mỹ, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 15,"Tầng 1 - KNG Mall, Phường Phú Mỹ, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 16,"Tầng 2, Sora Gardens SC, Lô C19, Đường Hùng Vương, Phường Hòa Phú, Thành phố Thủ Dầu Một, Bình Dường.",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 17,"Tầng 4 Vincom Thủ Đức - 216 Võ Văn Ngân, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 18,"Tầng B1 TTTM Giga Mall Thủ Đức, số240-242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 19,"114-116 Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 20,"332A Cách Mạng Tháng Tám, Phước Trung, Bà Rịa, Bà Rịa – Vũng Tàu",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 21,"Tầng 3 Lotte Mart Tân Bình, số 20 Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 22,"645 Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 23,"Tầng 6 Vạn Hạnh Mall, Số 11 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 24,"Tầng L3, TTTM Vincom Center Landmark 81, Số 772 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 25,"L4-05 và L4-06, Tầng 4, số 385, Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 26,"Tầng 4 Fashion Mall Nowzone - 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 27,"Tầng 4, Vincom Plaza Hòa Bình, Đồng Tiến, Hòa Bình",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 28,"Tầng 4 Vincom Gò Vấp - 12 Phan Văn Trị, Phường 7, Quận Gò Vấp, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 29,"126 Đ. Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 30,"Tầng 1-2 Topaz Home, 102 Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 31,"Tầng 3 Aeon Mall Bình Tân, Số 1 Đường Số 17A, Khu phố 11, Bình Tân, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 32,"Tầng 5 Vincom Mega Mall Thảo Điền , Số 161 Xa lộ Hà Nội, Quận 2, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 33,"S3B, Tầng 2, Aeon Mall Bình Dương Canary 1 Đại Lộ Bình Dương, Kp. Bình Giao, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 34,"Tầng 3 469 Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 35,"Tầng 4, Crescent Mall Quận 7, 101 Tôn Dật Tiên, Tân Phú, Quận 7, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 36,"Tầng 3 Vincom Đồng Khởi, 72 Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 37,"TTTM Go! Phú Thạnh, 53 Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 38,"Co.opxtra Thủ Đức, 934 Quốc Lộ 1A, Phường Linh Trung, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 39,"L3-10,11,V8-10, Đường Mai Chí Thọ, Phường Thủ Thiêm, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 40,"Lotte Mart Vũng Tàu, Góc đường 3/2 và, Đường Thi Sách, Phường 8, Thành phố Vũng Tàu",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 41,"GF-13, Tầng Trệt, Co.opMart Xa Lộ Hà Nội, 191 Quang Trung, Phường Hiệp Phú, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 42,"Tầng 2, Co.opmart Rạch Miễu 48 Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 43,"MM Mega Market Hiệp Phú, Đường Trương Thị Hoa, Tân Thới Hiệp, Quận 12, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 44,"Tầng 3, Hùng Vương Plaza, 126 Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 45,"Gian hàng 1S5, Tầng 1 TTTM Go! Đà Nẵng, Số 255-257 Hùng Vương, Phường Thạc Gián, Đà Nẵng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 46,"326 Nguyễn Duy Hiệu, Phường Sơn Phong, Thành phố Hội An, Quảng Nam",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 47,"Tầng 3 MM Đà Nẵng, Đường Nguyễn Sinh Sắc, Phường Hoà Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 48,"74 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 49,"Lô 3 A5.6 Khu công viên Bắc Đài tưởng niệm, Phường Hòa Cường Bắc, Quận hải Châu, Đà Nẵng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 50,"37 Phan Tứ, Phường Ngũ Hành Sơn, Đà Nẵng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 51,"Lô T323, Tầng 3, TTTM Aeon Mall Huế, Số 8 Đường Võ Nguyên Giáp, Phường An Đông, Thành phố Huế, Thừa Thiên Huế",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 52,"Lầu 5, Vincom Plaza Huế, 50A Hùng Vương tổ 10, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 53,"Tầng L3, TTTM Vincom Mega Mall Royal Island, Lô CCĐT-01, Khu B1, Phường Thủy Nguyên, Hải Phòng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 54,"1/20 Khu đô thị mới ngã 5 sân bay Cát Bi - Quận Ngô Quyền, Hải Phòng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 55,"Tầng 2, AEON Mall Hải Phòng, 10 Võ Nguyên Giáp, Phường Kênh Dương, Quận Lê Chân, Hải Phòng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 56,"L1-01B, Vincom+ Chí Linh, tại địa chỉ Khu dân cư Nguyễn Trãi 1, Phường Sao Đỏ, Thành phố Chí Linh, Hải Dương",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 57,"Tầng trệt TTTM GO! Hải Dương, Phường Nhị Châu, Thành phố Hải Dương, Hải Dương",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 58,"Tầng 4-04, Vincom Sóc Trăng ,Số 22 Trần Hưng Đạo, Khóm 1, Phường 2, Sóc Trăng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 59,"Tầng 4 Vincom Hùng Vương, Số 2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 60,"Tầng 4 Vincom Xuân Khánh, Số 209 Đường 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 61,"Tầng 4, Vincom Plaza Bắc Giang Số 41, Đường Ngô Gia Tự, Thành phố Bắc Giang, Bắc Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 62,"Lầu 2, Go ! Bắc Giang, Xã Tân Tiến, Thành Phố Bắc Giang, Bắc Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 63,"Tầng 3 Vincom Plaza Lý Thái Tổ, Bắc Ninh, Ngã 6 mặt đường Lý Thái Tổ và đường Trần Hưng Đạo, Phường Suối Hoa, Bắc Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 64,"125 &127 Nguyễn Thị Minh Khai, Phường Kinh Bắc, Tỉnh Bắc Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 65,"Lô L3-05, Tầng L3, TTTM Vincom Plaza Yên Bái, Công Viên Yên Hòa, Đường Thành Công và Đường Tô Hiến Thành, Phường Nguyễn Thái Học, Thành phố Yên Bái, Yên Bái",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 66,"Tầng 1 - TTTM Go! Yên Bái, Phường Yên Bái, Lào Cai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 67,"Tầng 1 , TTTM GO! LÀO CAI Đại Lộ Trần Hưng Đạo, Đường H1, Tiểu KĐT 13, Phường Bắc Lệnh, Lào Cai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 68,"L3-05, Tầng L3, TTTM Vincom, Số 2 Trần Hưng Đạo, Phường Chi Lăng, Thành phố Lạng Sơn, Lạng Sơn",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 69,"Tầng 3 TTTM Vincom Thái Nguyên, số 286 Đường Lương Ngọc Quyến, Phường Quang Trung, Thành phố Thái Nguyên, Thái Nguyên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 70,"L3-04, Tầng L3, Trung Tâm Thương Mại Vincom Plaza Bắc Kạn, Tổ hợp TTTM và nhà ở liền kề (Shophouse) Tổ 8A, Phường Đức Xuân, Thành Phố Bắc Kạn, Bắc Kạn",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 71,"Tầng 5, Trung Tâm Thương Mại Vincom Plaza Việt Trì, Đường Hùng Vương, Khu Hồng Hà, Phường Tiên Cát, Thành Phố Việt Trì, Phú Thọ",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 72,"1S9-B, Tầng 1, TTTM Go! Việt Trì, Đường Nguyễn Tất Thành, Phường Thanh Miếu, Thành phố Việt Trì, Phú Thọ",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 73,"Siêu thị Co.opmart Vĩnh Phúc- Tòa nhà TTTM Soiva. Plaza, đường Mê Linh, phường Khai Quang, thành phố Vĩnh Yên, Vĩnh Phúc.",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 74,"Tầng 3, TTTM Vincom Plaza Tuyên Quang, 260 Đường Quang Trung, Phường Phan Thiết, Tuyên Quang.",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 75,"Tầng 4, Vincom Plaza Hà Giang, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 76,"L3-06, Tầng L3, Trung Tâm Thương Mại Vincom Plaza Sơn La, Tổ 13, Phường Quyết Thắng, Thành phố Sơn La, Sơn La",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 77,"Tầng 5 SC Vivo City, 1058 Nguyễn Văn Linh, Tân Phong, Quận 7, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 78,"L3-02-03, TTTM Vincom Plaza Cẩm Phả, Thửa đất số 69 tờ bản đồ số 25, Phường Cẩm Bình, Thành phố Cẩm Phả, Quảng Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 79,"L1-03, Tầng L1, TTTM Vincom Uông Bí, Khu đô thị Yên Thanh, Phường Yên Thanh, Thành phố Uông Bí, Quảng Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 80,"Tầng 4, TTTM Vincom Center Hạ Long, Khu, Phường Bạch Đằng, Quảng Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 81,"158, Tầng 1, TTTM Go! Hạ Long, cột 5, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 82,"Tầng 3 của TTTM Vincom Plaza Móng Cái Thành phố Móng Cái, Quảng Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 83,"L4-06, Tầng L4, TTTM Vincom Điện Biên, Thửa đất số 117, tờ bản đồ số 13, tổ dân phố 7, Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 84,"L2-19-20 Tầng L2, Vincom Mega Mall Ocean City tại địa chỉ thửa đất số 1128, tờ bản đồ số 05 thuộc Dự án Khu đô thị sinh thái Dream City, Xã Nghĩa Trụ, Huyện Văn Giang, Hưng Yên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 85,"Tầng 1, TTTM GO ! THÁI BÌNH , Trần Thái Tông, Phường Phú Khánh, Thái Bình",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 86,"L4-04, Tầng L4, Trung Tâm Thương Mại Vincom Plaza Thái Bình tại 460 Lý Bôn, Phường Đề Thám, Thành phố Thái Bình, Thái Bình",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 87,"Tầng 3, Chợ Phủ, Thị trấn Khoái Châu, Huyện Khoái Châu, Hưng Yên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 88,"Tầng 1 - TTTM Go! Hưng Yên, Đường Tô Hiệu, Phường Hiến Nam, Thành phố Hưng Yên, Hưng Yên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 89,"Tầng 2, Go! Ninh Bình , Đường Trần Nhân Tông, Xã Ninh Phúc, Thành phố Ninh Bình, Ninh Bình",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 90,"Tầng 3, Trung Tâm Thương Mại Vincom Plaza Hà Nam, Số 42 Biên Hòa, Phường Lương Khánh Thiện, Thành phố Phủ Lý, Hà Nam",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 91,"Tầng 1, Go ! Nam Định, Trung Tâm Thương Mại Siêu thị Thiên Trường, Phường Lộc Hòa, Nam Định",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 92,"Siêu thị Go Thanh Hóa, Phố Đồng Lễ, Phường Đông Hải, Thanh Hoá",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 93,"Lầu 5- Vincom Plaza Thanh Hóa, số 27 Trần Phú, Phường Điện Biên , Thanh Hóa",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 94,"Tầng 2 Vinh Centre, số 69 Hồ Tùng Mậu, Trường Thi, Thành phố Vinh, Nghệ An",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 95,"Tầng L5 TTTM Vincom Plaza Vinh, Khu chung cư Quang Trung, Phường Thành Vinh, Nghệ An",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 96,"Tầng 3 Lotte Mart Vinh, 494 V.I. Lê Nin, Hà Huy Tập, Thành phố Vinh, Nghệ An",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 97,"Tầng L1, TTTM Vincom Kỳ Anh, Tiểu khu 2, Tổ dân phố 1, Phường Sông Trí, Hà Tĩnh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 98,"Tầng 3, Vincom Plaza Hà Tĩnh, Ngã tư đường Hà Huy Tập, Phường Hà Huy Tập, Hà Tĩnh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 99,"Lô L4-06, tầng L4, TTTM Vincom Plaza Đông Hà, 252 đường Hùng Vương, phường Đông Lương, thành phố Đông Hà, Quảng Trị",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 100,"Tầng 2 siêu thị Co.opmart Quảng Bình - số 07, Đường 23/08, Phường Đồng Phú, Thành phố Đồng Hới, Quảng Bình",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 101,"Tầng 1, Trung tâm thương mại GO! Quảng Ngãi, Đường Lý Thường Kiệt, Phường Chánh Nghĩa, Thành phố Quảng Ngãi, Quảng Ngãi",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 102,"L4-04, Tầng L4, TTTM Vincom Plaza Kon Tum, Số 2 Đường Phan Đình Phùng, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 103,"Tầng triệt, Trung Tâm Thương Mại Quy Nhơn, Số 7 Lê Duẩn, Phường Lý Thường Kiệt, Thành phố Quy Nhơn",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 104,"Tầng Trệt, Co.opmart Pleiku, Số 21 Đường Cách Mạng Tháng 8, Phường Hoa Lư, Thành phố Pleiku, Gia Lai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 105,"Tầng 1, GO- Buôn Mê Thuột, Góc đường Nguyễn Thị Định và đường Vành đai phía Tây, Thành phố Buôn Ma Thuột, Đắk Lắk",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 106,"Tầng L1, TTTM Vincom, Phường Ninh Hòa, Khánh Hòa",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 107,"Tầng 6, TTTM Gold Coast, số 01 Trần Hưng Đạo, Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 108,"Tầng 1, Lotte Mart Nha Trang ,Số 58 đường 23/10, Phường Phương Sơn, Thành phố Nha Trang, Khánh Hòa",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 109,"L1-02, Lầu 1 (Tầng 2), Co.opMart Thanh Hà, TTTM Chợ Thanh Hà, Đường Trần Phú, Phường Phủ Hà, Thành phố Phan Rang - Tháp Chàm, Ninh Thuận",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 110,"Tầng 5, LOTTE Mart Phan Thiết, Khu dân cư Hùng Vương I, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 111,"Co.op Mart - Tầng trệt, Tháp Nước, Đường Trần Phú, Phường 2, Thành phố Bảo Lộc, Lâm Đồng.",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 112,"Tầng hầm 1, quảng trường Lâm Viên (Big C), thành phố Đà Lạt, Lâm Đồng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 113,"MB6, Tầng 2, Tòa nhà Galaxy Tulips, Số 5 Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 114,"L1-02B, Tầng L1, TTTM Vincom Long Thành, Số 251 Đường Lê Duẩn, Thị Trấn Long Thành, Huyện Long Thành, Đồng Nai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 115,"Số A2,22-23 , Khu nhà mặt phố thương mại Long Khánh (Ngay chợ Long Khánh), Đường D1, Phường Xuân Trung, Thành phố Long Khánh, Đồng Nai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 116,"Số 237/6A Trương Định, Tân Mai, Thành phố Biên Hòa, Đồng Nai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 117,"Tầng 5, Lô B-03, Khu thương mại Amata,Quốc lộ 1A, Phường Long Bình, Thành phố Biên Hoà, Đồng Nai",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 118,"Tầng trệt, TTTM Co.opmart Tân An, 01 Mai Thị Tốt, Phường 2, Thành phố Tân An, Long An",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 119,"Lầu 1, Co.opmart Tây Ninh, 576 Cách Mạng Tháng Tám, Phường 3, Thành phố Tây Ninh, Tây Ninh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 120,"Tầng L3, Trung Tâm Thương Mại Vincom Plaza Vĩnh Long, Số 55 đường Phạm Thái Bường, Phường 4, Thành phố Vĩnh Long, Vĩnh Long",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 121,"Tầng L3, Trung Tâm Thương Mại Vincom Plaza Trà Vinh, Phường 2, Thành phố Trà Vinh, Trà Vinh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 122,"26 Đường 3 Tháng 2, Phường 1, Vĩnh Long",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 123,"Tầng Trệt, TTTM GO! Bến Tre, Ấp1, đường Võ Nguyên Giáp (Quốc lộ 60), Xã Sơn Đông, Bến Tre",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 124,"Tầng 5 Vincom Plaza Mỹ Tho - số 1A đường Hùng Vương, Phường 1, Thành phố Mỹ Tho, Tiền Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 125,"Lầu 4 Vincom Plaza Cao Lãnh, Ngã tư 30/04 & Nguyễn Đình Chiểu, Thành phố Cao Lãnh, Đồng Tháp",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 126,"Tầng L1, TTTM Vincom Sa Đéc, 11a Nguyễn Hữu Cảnh, Phường 1, Thành phố Sa Đéc, Đồng Tháp",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 127,"TTTM Go! Thanh Bình, Thửa đất số 119, Tờ bản đồ số 72, Thị trấn Thanh Bình, Huyện Thanh Bình, Đồng Tháp",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 128,"GF1 + GF2, Tầng trệt, Co.opMart Kiên Giang, 1332 Nguyễn Trung Trực, Phường An Bình, Rạch Giá, Kiên Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 129,"Tầng 5 Vincom Plaza Rạch Giá, Kiên Giang, Lô A12, Khu Phố 1, Đường Cô Bắc, Phường Vĩnh Bảo, Thành Phố Rạch Giá, Kiên Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 130,"Lầu 5 Vincom Plaza An Giang, Số 1242 Trần Hưng Đạo, Mỹ Bình,Thành phố Long Xuyên, An Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 131,"Trung tâm giải trí và ẩm thực Holiday Center, 95 Trần Hưng Đạo, Khu phố 7, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 132,"Tầng 3-02-03, TTTM Vincom Trần Huỳnh Trần Huỳnh, Phường 7, Bạc Liêu",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 133,"Tầng L4, Trung Tâm Thương Mại Vincom Cà Mau, Khu Phố Thương mại và Trung tâm Thương mại, Phường 1, Thành phố Cà Mau, Cà Mau",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 1,"5F-53 Tầng 5, Trung Tâm Thương Mại Crescent Mall, Số 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 2,"L3-02 Tầng 3, Trung Tâm Thương Mại Estella Place, 88 Song Hành, Xa Lộ Hà Nội, Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 3,"L1-18 Tầng 1, Thiso Mall Sala, Số 10 Mai Chí Thọ, Phường An Khánh, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 4,"L2-14-15 Tầng 2, Trung Tâm Thương Mại Marina Center Tower, 02 Tôn Đức Thắng, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 1,"364 Phố Cầu Giấy, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 2,"Tầng 3, Aeon Mall Hà Đông, P. Dương Nội, Quận Hà Đông, Hà Nội",Dang hoat dong,
Life4cuts,Life4cuts - Chi nhánh 3,"Tầng B1, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội",Dang hoat dong,
